text,category
Charts and graphs are not loading on the reports page,technical
I was charged twice for my subscription this month,billing
Error 500 appears when I click on the dashboard,technical
Video call feature has terrible audio quality issues,technical
My bank blocked the payment but I want to pay,billing
Two-factor authentication is not sending SMS code,technical
My credit card expired and I need to change billing,billing
Can I use your service in the United Arab Emirates,general
My payment failed but money was deducted from account,billing
Please send me a copy of all my invoices this year,billing
How do I enable two-factor authentication on account,account
The search function returns no results for any query,technical
What is your data privacy and security policy,general
Browser extension conflicts with the web application,technical
Do you provide training or onboarding for new users,general
Can I merge two separate accounts into one single one,account
Is there a mobile app available for iOS and Android,general
How do I get started with your platform for my team,general
I accidentally deleted important data from my account,account
I forgot my password and cannot access my account,account
How do I update my payment method on file,billing
How many users can I add to a single account,general
I need a receipt for my recent purchase,billing
My account was hacked and I need to recover access,account
My profile picture does not upload successfully ever,technical
Can you explain the difference between your pricing plans,general
I want to delete my account and all my personal data,account
Can I create a sub-account for my team members,account
I want to upgrade my plan but worried about billing,billing
My API key is not working despite being correct format,technical
How do I export all my data before closing account,account
Where can I find your documentation and tutorials,general
I was overcharged for the premium plan,billing
I need to add another admin user to our organization,account
Please help me recover my account I lost access,account
Please explain the charges on my latest bill,billing
Is your platform available in Arabic and other languages,general
API returns 404 error when I call the endpoint,technical
I need to transfer my account to a different email,account
My account shows a balance I don't recognize,billing
Can you provide a demo of your platform features,general
Credit card was charged without my authorization,billing
Can I get a discount on my monthly invoice,billing
Data backup failed with an unexpected internal error,technical
When will my refund be processed to my bank,billing
Do you offer a free trial before purchasing the plan,general
Billing statement shows wrong amount please correct,billing
Notification emails stopped arriving in my inbox,technical
How often do you release product updates and features,general
I need to reset my security questions for my account,account
I want to update my personal information and address,account
Do you offer custom enterprise pricing for large teams,general
Double payment was made please reverse one transaction,billing
Password reset link expires before I can use it,technical
Please help me change my username to a new one,account
The integration with Slack stopped working today,technical
I cannot verify my email because link is expired now,account
My data is not syncing between desktop and mobile,technical
My account has been locked after too many failed logins,account
How long does it take to set up the platform initially,general
My account shows wrong plan I should be on premium,account
I was billed for a service I cancelled last week,billing
I cannot connect to the server from my office network,technical
What happens to my data if I cancel my subscription,general
Please help me log in from a new device safely,account
What features are included in the enterprise package,general
How do I contact a human support agent directly,general
The system is extremely slow during peak hours today,technical
The export feature downloads an empty CSV file,technical
My invoice shows incorrect amount please fix it,billing
I want to change the email address linked to my account,account
I cannot upload files larger than 10MB to the platform,technical
I want a refund for last month's payment,billing
The mobile app keeps freezing on Android devices,technical
Do you have an affiliate or referral program available,general
The application crashes every time I try to login,technical
What are your business hours and support availability,general
What integrations do you support with other tools,general
I need to cancel my subscription and get refund,billing
My account was suspended without any warning or reason,account
